id,name
138,"LAPTOP ASUS VIVOBOOK X505ZA - EJ492T (RYZEN 3 2200U, Ram 4GB, HDD 1TB, Màn hình 15.6 FHD, WIN 10)"
139,"LAPTOP DELL INSPIRON 5570 N5570D (Core i7 8550U, Ram 8GB, SSD 256GB, Màn hình 15.6 FHD, VGA 4GB, Win 10)"
140,"LAPTOP DELL ALIENWARE 15R4 (Nhập khẩu) (Core i7 8750H, Ram 16GB, HDD 1T + 128GB, Màn hình 15.6 FHD, VGA 6GB 1060, WIN 10)"
141,"LAPTOP DELL INSPIRON 5570 N5570E (Corei7 8550U, Ram 8G, HDD 1TB + 128G, Màn hình 15.6 FHD, VGA AMD 530 4G, DOS)"
142,"LAPTOP LENOVO THINKPAD E580 20KS005NVA (Core i5 8250U, Ram 4G, HDD 1TB, Màn hình 15.6, DOS)"
143,"LAPTOP LENOVO THINKPAD E480 20KN005GVA (Core i5 8250U, Ram 4G, HDD 1TB, Màn hình 14, DOS)"
144,"LAPTOP ASUS VIVOBOOK A411UA - BV870T (Core i3 7020U, Ram 4GB, HDD 1TB, Màn hình 14, WIN 10)"
145,"LAPTOP ASUS VIVOBOOK A411UA - BV834T (Core i3 7020U, Ram 4GB, HDD 1TB, Màn hình 14, Win 10)"
146,"LAPTOP LENOVO Y530  81FV008LVN (Core i7 8750H, Ram 8GB, HDD 2T + 16GB, Màn hình 15.6 FHD, VGA 4GB, Win 10)"
147,"LAPTOP LENOVO IP 330 15IKB 81DE01JSVN (Core i5 8250U, Ram 4G, HDD 500G, Màn hình 15.6, VGA 2GB, DOS)"
148,"LAPTOP ASUS VIVOBOOK S13 S330UA - EY027T (Core i5 8265U, 8GB, SSD 256GB, 13.3 FHD, WIN 10)"
149,"LAPTOP ASUS VIVOBOOK S15 S530FA - BQ067T (Core i5 8265U, Ram 4GB, HDD 1T, Màn hình 15.6 FHD, WIN 10)"
150,"LAPTOP ASUS VIVOBOOK S15 S530FA - BQ066T (Core I5 8265U, Ram 4GB, HDD 1T, Màn hình 15.6 FHD, WIN 10)"
151,"LAPTOP ASUS VIVOBOOK S15 S530FA - BQ032T (Core i5 8265U, Ram 4GB, HDD 1TB, Màn hình 15.6 FHD, WIN 10)"
152,"LAPTOP ASUS VIVOBOOK S15 S530UN  BQ264T (Core i5 8250U, Ram 4GB, SSD 256GB, Màn hình 15.6 FHD, VGA 2G, Win 10)"
153,"LAPTOP ASUS TUF GAMING FX505GD BQ325T (Core i5 8300H, Ram 8GB, HDD 1T + 128GB SSD, Màn hình 15.6 FHD, VGA 4G 1050, Win 10)"
154,"LAPTOP DELL VOSTRO 5481 - V5481A (Core i5 8265U, Ram 4GB, HDD 1TB, Màn hình 14 FHD, VGA MX130. G, W1in 10)"
155,"LAPTOP ASUS VIVOBOOK S13 S330UA EY053T (Core i3 8130U. Ram 4GB, SSD 256G, Màn hình 13.3 FHD, Win 10)"
156,"LAPTOP ASUS FX505GD - BQ014T (Core i7 8750H, Ram 8GB, HDD 1T + 128GB, Màn hình 15.6 FHD, VGA 4GB, Win 10)"
157,"LAPTOP ACER SPIN 3 SP314 51 51LE (Core i5 8250U, Ram 4G, SSD 256G, Màn hình 14 FHD, Win 10)"
158,"LAPTOP DELL INSPIRON 5570 - M5I5238 (Core i5 8250U, Ram 4GB, HDD 1TB, Màn hình 15.6 FHD, VGA 2GB, DOS)"
159,"LAPTOP DELL INSPIRON 3573 - 70178837 (PENTIUM N5000, Ram 4GB, HDD 500GB, Màn hình 15.6, DOS)"
160,"LAPTOP ASUS VIVOBOOK S15 S530UA BQ177T (Core i3 8130U, Ram 4GB, SSD 256GB, Màn hình 15.6 FHD, Win 10)"
161,"LAPTOP ASUS VIVOBOOK S15 S530UA BQ176T (Core i3 8130U, Ram 4GB, SSD 256GB, Màn hình 15.6 FHD, Win 10)"
162,"LAPTOP ASUS VIVOBOOK S15 S530UA-BQ134T (Core i3 8130U, Ram 4GB, SSD 256GB, Màn hình 15.6 FHD, Win 10)"
163,"LAPTOP ASUS VIVOBOOK S15 S530UA BQ145T (Core i3 8130U, Ram 4GB, HDD 1TB, Màn hình 15.6 FHD, Win 10)"
164,"LAPTOP ASUS VIVOBOOK A510UA - EJ1494T (Core i3 8130U, Ram 4GB, SSD 256GB, Màn hình 15.6 FHD, Win 10)"
165,"LAPTOP ASUS VIVOBOOK S15 S530UA - BQ033T (Core  i3 8130U, Ram 4GB, HDD 1TB, Màn hình 15.6 FHD, Win 10)"
166,"LAPTOP ASUS VIVOBOOK X507UA - EJ314T (Core i3 7020U, Ram 4GB, HDD 1TB, Màn hình 15.6 FHD, Win 10)"
167,"LAPTOP ASUS VIVOBOOK X507UA - EJ313T (Core i3 7020U, Ram 4GB, HDD 1TB, Màn hình 15.6 FHD, Win 10)"
168,"LAPTOP DELL INSPIRON N5480B (Core i5 8265U, Ram 8GB, Màn hình 14 FHD, SSD 256 GB, WIN 10)"
169,"LAPTOP MSI GL63 8SE 294VN (Core i7 8750H, Ram 8GB, HDD 1T + 128GB SSD, Màn hình 15.6 FHD, VGA 6GB RTX 2060, Win 10)"
170,"LAPTOP HP PRO 450 G6 6FG83PA (Core i7 8565U, Ram 8GB, SSD 256GB, Màn hình 15.6 F, 2GB, DOS)"
171,"LAPTOP HP PRO 430 G6 6FG88PA (Core i7 8565U, Ram 8GB, SSD 256GB, Màn hình 13.3 FHD, DOS)"
172,"LAPTOP HP PRO 430 G6 5YN01PA (Core i7 8565U, Ram 8GB, HDD 1TB, Màn hình 13.3 FHD, DOS)"
173,"LAPTOP HP PRO 430 G6 5YN03PA (Core i7 8565U, Ram 4GB, SSD 256 GB, Màn hình 13.3 FHD, DOS)"
174,"LAPTOP HP PRO 450 G6 6FG98PA (Core i5 8265U, Ram 4GB, SSD 256GB, Màn hình 15.6 FHD, VGA 2GB, DOS)"
175,"LAPTOP HP PRO 450 G6 5YM80PA (Core i5 8265U, Ram 8GB, HDD 1TB, Màn hình 15.6, DOS)"
176,"LAPTOP HP PRO 430 G6 5YN00PA (Core i5 8265U, Ram 4GB, SSD 256GB, Màn hình 13.3, DOS)"
177,"LAPTOP HP PRO 430 G6 5YN22PA (Core i5 8265U, Ram 4GB, HDD 500GB, Màn hình 13.3, DOS)"
